No.,First Name,Epithet (a),+ Noun (a),Epithet (b),+ Noun (b)
1,Jon,Black,hand,Blue,staff
2,Jana,White,finger,Noble,crest
3,Dragomir,Gold,fist,Lightning,catcher
4,Wes,Silver,tongue,Cat,fetcher
5,Arron,Bronze,beard,Tide,fighter
6,Lena,Copper,hair,Ferret,skipper
7,Flyn,Steel,jaw,Skull,pecker
8,Granit,Iron,glove,Snow,clasp
9,Yanis,Rock,haven,Loose,button
10,Eva,Amber,dawn,Craven,cottage
11,Idris,Red,moon,Riddle(s),worth
12,Gwen,Rose,mount,Giant,reckon(ing)
13,Devon,Green,gaze,Sage,wine
14,Esemir,Grey,cloak,Gorgon,spell
15,Axel,Shadow,run,Timber,trader
16,Mira,Dark,sun,Lumber,worker
17,Darian,Dusk,tripper,Cradle,lit
18,Flo,Dawn,dancer,Heron,loft
19,Issi,Bright,soul,Tinder,spark
20,Dafne,Light,flower,Wet,peg
21,Hazel,Sun,blossom,Flint,flurry
22,Roisin,Moon,bringer,Needle,dart
23,Ruben,Star,dust,Swallow,drifter
24,Seth,Storm,quiver,Dire,whisper(er)
25,Caelin,Cloud,seeker,Pewter,ring
26,Orla,Dream,giver,Brass,brace
27,Pria,Fire,strike,Hill,shepherd
28,Rowan,Wood,cutter,Plain,sceptre
29,Olaf,Oak,heart,Rye,grain
30,Trent,Strong,blood,Wheat,sheaf
31,Marek,Hard,helm,Soft,pride
32,Roik,Stout,anvil,Proud,antler
33,Bertran,Arrow,smith,Rib,tickler
34,Tormen,Shield,bearer,Free,mason
35,Zak,Sparrow,flash,Dour,bound
36,Ganut,TRUE,stone,Opal,chain
37,Stron,Swift,shield,Brandy,barn
38,Pelin,Deft,spear,Dandy,buck
39,Oswin,Nimble,foot,Spirit,horn
40,Ferlik,Quick,notch,Hoot,cryer
41,Jasmin,Fleet,ford,Safe,harbour
42,Drezz,Hawk,wind,Shallow,port
43,Coromet,Lion,mane,Knave,trap(per)
44,Grunwila,Bear,rider,Spider,jack
45,Rafina,Tiger,rake,Rage,lust
46,Draxon,Griffon,bane,Noon,riser
47,Alkon,Dragon,slayer,Boon,lord
48,Fleck,Snake,skin,Prime,cut
49,Jin,Cobra,killer,Eternal,glade
50,Dagmar,Eagle,born,Pure,crack
51,Joris,Stag,walker,Beryl,gift
52,Lavin,Deer,hunt(er),Middle,camp
53,Tegen,Ox,tamer,Blaze,town
54,Larissa,Bison,stalker,Fen,moor
55,Lorilee,Wolf,creek,Kings,mire
56,Fenwick,Jackal,mouth,Quag,nag
57,Caradoc,Dog,tooth,Dung,sweeper
58,Toady,Rat,tail,Desert,mare
59,Gea,Lynx,hide,Forest,steed
60,Aspen,Owl,flight,Filly,whip(per)
61,Leandra,Panther,claw,Daisy,bell(s)
62,Colyn,Crab,eater,Fir,snapper
63,Agnes,Kraken,maid,Willow,warbler
64,Seldon,Trout,nose,Beech,craft
65,Clifton,River,bank,Pine,harness
66,Gibon,Sea,breeze,Fury,forge(d)
67,Lazar,Swan,song,Heaven,sent
68,Fel,Duck,feather,Lime,scent
69,Gerald,Goose,wing,Orchid,musk
70,Ovina,Sand,shifter,Swamp,shiver
71,Vondel,Castle,stormer,Bog,shudder
72,Gideon,Cliff,raider,Aether,bat
73,Drayton,Crag,reaver,Elm,cudgel
74,Owyn,Bluff,breaker,Rhyme,peddler
75,Brindel,Beach,comber,Honey,lyre
76,Una,Good,berry,Marble,limb
77,Uma,Fair,brook,Candle,stick
78,Benn,Blade,forge(r),Wicker,horse
79,Delryn,Axe,storm,Hoarse,throat
80,Mia,Hammer,wind,Silent,pad
81,Nora,Wagon,chaser,Limp,shoe
82,Pip,Leather,saddle,Fiery,bolt
83,Teia,Loom,weaver,Last,arch
84,Osbalt,Cart,swain,Wheel,barrow
85,Robyn,Bull,chest,Rabbit,burrow
86,Perritt,Plough,puller,Wiggle,worm
87,Eggard,Wheel,wright,Bug,stain
88,Merit,Little,rider,Cat,lick
89,Philomena,Great,star,Frog,fetcher
90,Jaysee,Dew,drop,Viper,prey
91,Cameron,Crow,caller,Hornet,nest
92,Nikki,Raven,roost,Church,mouse
93,Bryn,Ruby,mine(r),Brick,temple
94,Ida,Jet,tempest,New,spire
95,Oriel,Sky,deck,Old,tower
96,Alina,Jade,tusk,Sly,hook
97,Odo,Gem,tree,Razor,pike
98,Dezre,Diamond,farmer,Bold,crook
99,Petronia,Flame,fork,Fiery,bolt
100,Bilko,Bone,field,Wily,guise
101,Eva,Teal,feather,Shy,kiss(ed)
102,Finigan,Frost,whiskers,Vile,wart
103,Helois,Ever,lock,Lazy,toad
104,Loris,Right,guard,Slumber,newt
105,Brigitte,Scarlet,mark,Velvet,fleece
106,Theobald,Night,warden,Bracken,hearth
107,Wilhelm,Day,watcher,Hay,blaze
